tier,value_type,mode,T3_K,phi,k2_uncalibrated,purge_p,r_CH4,h_H2_to_CFR,converged,iterations,method,tear_rel_err,S1_inlet_CH4_kmol_d,S1_recycle_CH4_kmol_d,S1_inlet_CH4_ratio_vs_fresh,S1_X_CH4,recycle_to_S2_total_kmol_d,recycle_to_S2_H2,recycle_to_S2_CO,recycle_to_S2_CO2,recycle_to_S2_CH4,recycle_to_S2_H2O,S2_inlet_total_kmol_d,S2_X_CO2_per_pass,S2_xi2_CH4_kmol_d,S2_character,S3_inlet_total_kmol_d,S3_CH4_out_kmol_d,S3_CO_out_kmol_d,S3_CO2_out_kmol_d,S3_ext_CO2_meth,S3_ext_CO_carb,S3_ext_CH4_crack,C_stage1_tpd,C_stage3_tpd,C_total_tpd,C_from_wasteCH4_tpd,C_from_biogasCO2_tpd,C_from_DACCO2_tpd,C_from_CO2_total_tpd,fresh_CO2_carbon_fixed_fraction,fresh_CH4_carbon_fixed_fraction,C_from_CO2_total_tpd_mixing_tracer_upper,C_from_biogasCO2_tpd_mixing,C_from_DACCO2_tpd_mixing,tracer_netconv_iterations,f1_wasteCH4,f1_biogasCO2,f1_DACCO2,f2_wasteCH4,f2_biogasCO2,f2_DACCO2,purge_total_kmol_d,purge_carbon_kmol_d,purge_carbon_tpd,purge_CO2_tpd,purge_CO_tpd,purge_CH4_tpd,purge_H2_tpd,purge_carbon_as_CO2_if_oxidised_tpd,purge_CO2origin_carbon_tpd,purge_CO2origin_carbon_tpd_mixing,H2_permeate_tpd,H2_net_exportable_tpd,external_H2_required,water_stage2_tpd,water_stage3_tpd,water_total_tpd,Q1_kW,Q2_kW,Q3_kW,Q_total_kW,closure_C_rel,closure_H_rel,closure_O_rel,part,dG_kJ_per_mol,case,Kp_pyrolysis_1200K_1atm,S3_CH4_formed_kmol_d,once_C_total_tpd,once_C_from_CO2_total_tpd,delta_C_total_vs_once_tpd,delta_C_from_CO2_vs_once_tpd,delta_Q1_vs_once_kW,delta_water_vs_once_tpd,delta_H2_export_vs_once_tpd,S2_inlet_ratio_vs_once,S1_X_CH4_eq_shifted,S1_X_CH4_kin_tau8905,S1_approach_tau8905,C1_kin_tau8905_tpd,Q1_kin_tau8905_kW,tau_star_for_approach_0p9_s,S1_X_CH4_kin_at_new_tau_star,C1_kin_at_new_tau_star_tpd,V1_ratio_new_tau_star_vs_3s
T1_A,equilibrium,equilibrium,650.0,,,1.0,0.0,0.35,True,1,once-through,0.0,2991.959109892165,0.0,1.0,0.9698161069695571,0.0,0.0,0.0,0.0,0.0,0.0,8097.950578294656,0.8137175990035082,197.6225935126161,methanation (xi2>0),3082.7385082968694,806.9327572388999,2.3319268618704583,112.50260835734483,,,,34.85150348488499,1.4761611489377178,36.32766463382271,34.851530918653594,1.1246733067955137,0.3514604083735981,1.476133715169112,0.1287771302315684,0.9698108513861593,1.348526336721254,1.027448637501908,0.32107769921934626,4,1.0,0.0,0.0,0.08646400991403458,0.6960274210178784,0.217508569068087,1203.7271163690464,921.7764587702804,11.071457046289837,4.951127291198389,0.06531727140099153,12.94562222438367,0.4922278229837842,40.56646017402127,9.986567096028788,10.114174474476625,7.448142203804828,7.940370026788613,False,16.672361365115467,12.9365293883747,29.608890753490165,3030.936066508513,-196.44509421947726,-1478.5168102374107,1355.974162051625,9.218686318044627e-16,-6.286321424573996e-16,-5.9562429062983335e-15,A_once_through_eq,0.0,eq once-through Feed A chain,63.27550442501953,519.0011900018395,,,,,,,,,,,,,,,,,
T1_B,equilibrium,equilibrium,650.0,,,0.05,0.95,0.35,True,29,direct,5.942194930963308e-09,4065.520748011067,1073.561638118902,1.3588156116737822,0.9698161069695568,656.0662909287416,546.3379733054845,0.5246758641926812,12.79011581832478,53.678081905945255,42.73181894123168,10868.732677222579,0.8524659898392344,238.56753945670818,methanation (xi2>0),4049.010357355833,1130.064882123812,0.5522903809829544,13.463279728761494,,,,47.35676702556496,0.0,47.35676702556496,35.93348380706881,8.703453880758968,2.719829337737176,11.423283218496142,0.9965612299098779,0.9999182706075073,11.424008309920795,8.704006331368225,2.7200019785525704,34,0.758767140844862,0.1837964641182004,0.05743639503693762,0.08646400991403702,0.6960274210178765,0.21750856906808644,34.52980478572324,3.526322272718872,0.042354656817626374,0.029625274055192382,0.0007734826818966843,0.04532407726405683,0.05796933443072931,0.15518991690008482,0.03941759486093933,0.03869250335064149,10.669047261324778,10.72701659575551,False,18.923696937311682,15.396274362317405,34.31997129962909,4118.483245156893,-283.26231350248094,-1755.28790723315,2079.9330244212615,4.7893034393084424e-11,-8.836581445380872e-11,8.845675902572719e-11,B_recycle_eq,0.0,eq recycle p=0.05,,715.1060173901451,36.32766463382271,1.476133715169112,11.029102391742256,9.94714950332703,1087.54717864838,4.711080546138923,2.786646568966897,1.3421584352903546,,,,,,,,,
T1_B,equilibrium,equilibrium,650.0,,,0.2,0.95,0.35,True,24,direct,5.416191736320864e-09,4054.139302817047,1062.1801929248818,1.3550116007311224,0.9698161069695572,525.9064452266066,431.90888301566315,0.5048630723822869,13.022045095642966,44.723376544205536,35.7440942673551,10716.15351136679,0.851371773374647,239.85087913157216,methanation (xi2>0),3990.771481940377,1118.0844134817166,0.6310788379873219,16.27755628139134,,,,47.22419152494034,0.0,47.22419152494034,35.92476724157697,8.609085168276849,2.6903391150865144,11.299424283363361,0.9857558414440301,0.9996757154147229,11.30289581869599,8.611730147577896,2.691165671118093,31,0.7606545405287324,0.18235844531144205,0.056987014159825634,0.08646400991403945,0.6960274210178746,0.21750856906808583,131.47661130665165,14.56416266285415,0.17493015774354118,0.14327179565353781,0.0035353036643569636,0.17937428247467235,0.21768207703989423,0.6409542346295483,0.16327653027721278,0.1598049948501391,10.486251555409321,10.703933632449214,False,18.811352939894686,15.293334130767686,34.104687070662365,4106.953531193394,-286.9498472099382,-1746.001381372262,2074.002302611194,5.4249433842955175e-11,-6.441782153403711e-11,9.69154578266777e-11,B_recycle_eq,0.0,eq recycle p=0.2,,711.1404507591951,36.32766463382271,1.476133715169112,10.896526891117631,9.823290568194249,1076.0174646848814,4.4957963171722,2.763563605660601,1.3233167340005552,,,,,,,,,
T1_C,kinetic,kinetic,650.0,0.0,0.0,1.0,0.0,0.35,True,1,once-through,0.0,2991.959109892165,0.0,1.0,0.8728806831856022,0.0,0.0,0.0,0.0,0.0,0.0,7807.932668338708,0.7035036006698712,0.0,reforming (xi2<0),3398.9057124384035,383.9873891757455,668.5350013583536,282.16365399248764,1.4311623316501303,5.119728516138511,-24.851402724641876,31.36820759930369,0.0,31.36820759930369,31.36820759930369,0.0,0.0,0.0,0.0,0.8728806831856026,0.0,0.0,0.0,4,1.0,0.0,0.0,0.28496274426920465,0.5447902900806059,0.17024696565018935,3355.4846788624973,1334.6860445265866,16.03091408080883,12.417740248555388,18.725665388047485,6.160309684546484,4.070097752715279,58.73819813357055,11.462700811197713,11.462700811197708,7.6027544467982535,11.672852199513533,False,11.490316364973124,0.6506630893072898,12.140979454280414,2727.980709243213,274.069072042296,-8.901866643807095,2993.147914641702,4.6093431590223135e-16,-3.771792854744397e-16,-2.3824971625193333e-16,C_kinetic_design_once_through,0.0,"kin once-through design chain (tau1=8.905 s, phi=0)",63.27550442501953,,,,,,,,,,0.9698161069695571,0.8728806831856021,0.9000476244028829,31.36820759930369,2727.980709243213,8.9049072265625,0.8728786998087906,31.36813632383979,2.9683024088541665
T1_A,equilibrium,equilibrium,650.0,,,1.0,0.0,0.35,True,1,once-through,0.0,2991.959109892165,0.0,1.0,0.9515863972032182,0.0,0.0,0.0,0.0,0.0,0.0,8043.392619553103,0.8109072497610733,165.96653133763382,methanation (xi2>0),3131.599174164565,907.2591662201357,3.866735589094046,188.10927072245622,,,,34.19604116468104,0.0,34.19604116468104,34.19604116468104,0.0,0.0,0.0,0.0,0.9515705887744877,0.0,0.0,0.0,4,1.0,0.0,0.0,0.13181618503344716,0.6614733828316594,0.20671043213489354,1334.6952526652274,1099.2490646433496,13.203080515431271,8.278500895224575,0.10830726385052421,14.555158803669638,0.4105856274619711,48.37685208588917,11.462700811197685,11.462700811197681,7.4331942673353,7.843779894797271,False,16.08420015461781,10.881112791694958,26.96531294631277,3138.7295970106375,-115.25227560437237,-1515.296581210974,1508.1807401952913,-4.148408843120082e-15,-3.646066426252917e-15,-3.5737457437790004e-15,A_once_through_eq,5.0,eq once-through Feed A chain,38.335005694087336,596.4411149519699,,,,,,,,,,,,,,,,,
T1_B,equilibrium,equilibrium,650.0,,,0.05,0.95,0.35,True,38,direct,8.279486555937591e-09,4142.149908679063,1150.1907987868972,1.3844273121862125,0.9515863972031795,585.180596913492,450.7779127745592,1.049828643267337,31.895807019649645,57.50953993934483,43.942465154141736,10873.260581665105,0.8468776735357889,198.92362503734552,methanation (xi2>0),4152.542735429003,1210.7271563842612,1.105082775610887,33.57453342691446,,,,47.34193335702696,0.0,47.34193335702696,35.93161944070998,8.693572507670073,2.7167414086468984,11.410313916316973,0.9954297947976135,0.9998663910292479,11.413050834688779,8.695657778810498,2.7173930558782797,24,0.7589230091509402,0.18367770731356922,0.05739928353549038,0.1318161850335313,0.6614733828315952,0.2067104321348735,30.798978784920628,4.761329557148744,0.05718832931091356,0.07387908269093481,0.001547668436732532,0.04855923943404785,0.04782990906071112,0.20954135248055908,0.05238690073581333,0.049649981912707655,10.682483309372445,10.730313218433155,False,18.44962487827427,15.832470192908657,34.28209507118293,4345.342979668572,-175.80086023178242,-1858.4995599476724,2311.0425594891176,1.3133931537465567e-10,-6.66475797433335e-11,2.9808672811289705e-10,B_recycle_eq,5.0,eq recycle p=0.05,,753.7575910038966,34.19604116468104,0.0,13.145892192345919,11.410313916316973,1206.6133826579348,7.3167821248701586,2.8865333236358843,1.3518251683043208,,,,,,,,,
T1_B,equilibrium,equilibrium,650.0,,,0.2,0.95,0.35,True,29,direct,6.22807607547198e-09,4126.896591303874,1134.937481411709,1.3793292086310007,0.9515863972031801,481.905500842065,368.22828464437544,0.9170496339303528,28.391334553681407,47.78684132259841,36.577727777114795,10740.217442912788,0.8466788830900709,201.32821135595952,methanation (xi2>0),4097.564718771695,1194.671032858334,1.1463120371070818,35.48916797107252,,,,47.167598397991135,0.0,47.167598397991135,35.91737254698123,8.571600648388511,2.678625202621409,11.250225851009919,0.9814637960383449,0.9994699438209762,11.261696044871831,8.580339843711872,2.6813562011599594,23,0.7612408427105447,0.18191173888720413,0.056847418402251285,0.1318161850335233,0.6614733828316013,0.20671043213487544,120.47637521051625,19.275937667303385,0.23152328732198094,0.3123685605932413,0.006421640061597294,0.1916610738346116,0.1855870554607652,0.8483147408003547,0.21247496505914942,0.2010047708407771,10.530956958038232,10.716544013498996,False,18.310627899269395,15.650009438414687,33.960637337684076,4329.341411151207,-183.34315692441658,-1839.2243292363994,2306.7739249903907,1.097196522215774e-10,-3.6498130738219635e-11,2.37176996904509e-10,B_recycle_eq,5.0,eq recycle p=0.2,,745.7580478248403,34.19604116468104,0.0,12.971557233310094,11.250225851009919,1190.611814140569,6.995324391371305,2.872764118701726,1.3352844938594484,,,,,,,,,
T1_C,kinetic,kinetic,650.0,0.0,0.0,1.0,0.0,0.35,True,1,once-through,0.0,2991.959109892165,0.0,1.0,0.8625428881653224,0.0,0.0,0.0,0.0,0.0,0.0,7777.002408351576,0.7014953731550919,0.0,reforming (xi2<0),3408.7597561616935,414.6053081505482,666.8457092924646,284.1652870706975,1.3671102548056957,5.038494340090128,-61.6561055698825,30.996704246598302,3.516035119305316e-21,30.996704246598302,30.996704246598302,2.6788839004230986e-21,8.371512188822183e-22,3.516035119305316e-21,3.067370576287365e-22,0.8625428881653217,2.4571535737111056e-21,1.8721170085417943e-21,5.850365651693108e-22,4,1.0,0.0,0.0,0.3011578410523442,0.5324511687220234,0.1663909902256323,3366.43199143392,1365.6163045137102,16.402417433514174,12.505830118694327,18.678348317281934,6.651512958659244,4.029861850253445,60.09940794534388,11.462700811197713,11.462700811197708,7.524203871720202,11.554065721973647,False,11.45751600765344,0.6422214976821149,12.099737505335556,2845.0180554558665,273.2867120786798,-8.147921170223377,3110.1568463643225,-4.6093431590223135e-16,1.257264284914799e-16,-3.5737457437790004e-16,C_kinetic_design_once_through,5.0,"kin once-through design chain (tau1=8.905 s, phi=0)",38.335005694087336,,,,,,,,,,0.9515863972032182,0.8625428881653224,0.906426248526039,30.996704246598302,2845.0180554558665,8.6146240234375,0.8564371589560138,30.777286192020984,2.8715413411458335
T1_A,equilibrium,equilibrium,650.0,,,1.0,0.0,0.35,True,1,once-through,0.0,2991.959109892165,0.0,1.0,0.9236235648394154,0.0,0.0,0.0,0.0,0.0,0.0,7959.689529617944,0.8074065602253326,118.702616806435,methanation (xi2>0),3205.060714810848,954.3954439860061,4.611931580940856,223.9645912422685,,,,33.19025373430881,0.0,33.19025373430881,33.19025373430881,0.0,0.0,0.0,0.0,0.9235826198545712,0.0,0.0,0.0,4,1.0,0.0,0.0,0.19327135314934515,0.6146503976004989,0.1920782492501559,1409.7771990062117,1182.9879232206736,14.20886794580351,9.856457695980994,0.12918020358215335,15.311366107867494,0.39558591494921236,52.062115513018625,11.462700811197708,11.462700811197708,7.404205234263087,7.799791149212299,False,15.216869651962895,10.465049458726277,25.681919110689172,3206.42152354703,6.2857314303814915,-1556.9547443983945,1655.752510579017,-3.802708106193409e-15,-3.2688871407784778e-15,-3.0972463112751336e-15,A_once_through_eq,10.0,eq once-through Feed A chain,23.22498533813258,607.1776562197718,,,,,,,,,,,,,,,,,
T1_B,equilibrium,equilibrium,650.0,,,0.05,0.95,0.35,True,62,direct,7.397665138941366e-09,4262.825930437378,1270.8668205452125,1.4247607583751427,0.9236235648333717,565.9259137509288,346.4280238627355,2.758738414483985,109.19281606736727,63.543341027260745,43.99498193683468,10970.25772193142,0.8342066980960694,137.23093415748832,methanation (xi2>0),4369.295664817681,1337.7545476400353,2.903935156416874,114.9398055364162,,,,47.28817108089777,0.0,47.28817108089777,35.9286157395168,8.654899307718836,2.704656033662135,11.35955534138097,0.9910016433722167,0.9997828072688022,11.37319378442628,8.665290502420023,2.7079032820062565,19,0.7594917814653964,0.18324435697874555,0.05726386155585798,0.19327135315969926,0.6146503975926101,0.19207824924769065,29.78557440794362,9.23741680624395,0.11095061325979608,0.2529192969636193,0.004066961209984022,0.05365399053159707,0.03675783663722499,0.40652947622599,0.10314548315655811,0.08950703810117681,10.708858562640849,10.745616399278074,False,18.282453447165587,15.85139199485095,34.133845442016536,4568.383561528949,5.867638510846739,-2029.5195354063073,2544.7316646334884,2.963147362843818e-10,-9.798489204483487e-12,8.951193128154956e-10,B_recycle_eq,10.0,eq recycle p=0.05,,811.4008241526142,33.19025373430881,0.0,14.097917346588957,11.35955534138097,1361.962037981919,8.451926331327364,2.9458252500657744,1.3782268367517572,,,,,,,,,
